,initial,final,next_label
370,25750,25757,5
371,25939,25949,0
372,25958,25986,6
373,25990,25997,5
374,26158,26169,0
375,26176,26237,5
376,26250,26252,6
377,26386,26389,0
378,26398,26468,6
379,26470,26477,6
380,26618,26629,0
381,26631,26637,1
382,26645,26652,1
383,26658,26697,5
384,26710,26712,6
385,26778,26789,0
386,26792,26817,6
387,26830,26833,6
388,26978,26989,0
389,26991,27037,6
390,27050,27054,6
391,27218,27229,0
392,27233,27263,6
393,27270,27277,6
394,27443,27449,0
395,27458,27502,6
396,27510,27517,5
397,27566,27569,1
398,27578,27637,5
399,27658,27669,5
400,27671,27700,0
401,27702,27702,5
402,27707,27777,6
403,27790,27791,6
404,27863,27869,0
405,27878,27917,6
406,27930,27932,6
407,28148,28149,0
408,28158,28204,6
409,28210,28217,5
410,28318,28329,0
411,28333,28357,5
412,28370,28373,5
413,28438,28449,0
414,28455,28477,6
415,28490,28497,6
416,28649,28649,1
417,28658,28703,6
418,28710,28717,5
419,28838,28849,0
420,28851,28880,6
421,28890,28897,5
422,29018,29029,0
423,29032,29062,5
424,29070,29077,5
425,29106,29109,0
426,29118,29157,5
427,29170,29171,3
428,29221,29229,0
429,29238,29257,6
430,29270,29276,6
431,29518,29529,0
432,29535,29561,5
433,29570,29577,5
434,29661,29669,0
435,29678,29717,6
436,29730,29736,6
437,29918,29929,0
438,29931,29957,6
439,29970,29972,6
440,30107,30109,0
441,30118,30188,6
442,30190,30197,6
443,30358,30369,0
444,30371,30388,6
445,30390,30397,6
446,30578,30608,6
447,30610,30617,5
448,30729,30729,0
449,30738,30777,6
450,30790,30795,6
451,30898,30909,0
452,30915,30928,6
453,30930,30937,5
454,31078,31089,0
455,31093,31106,6
456,31110,31117,5
457,31240,31249,0
458,31258,31319,6
459,31330,31337,5
460,31383,31389,0
461,31398,31421,5
462,31430,31437,5
463,31561,31562,1
464,31566,31567,1
465,31607,31609,1
466,31618,31657,5
467,31670,31673,5
468,31838,31849,0
469,31851,31888,6
470,31890,31897,6
471,32078,32089,0
472,32092,32137,5
473,32150,32153,6
474,32318,32329,0
475,32333,32366,5
476,32370,32377,5
477,32519,32529,0
478,32538,32557,5
479,32570,32577,3
480,32618,32629,0
481,32631,32648,0
482,32650,32657,5
483,32678,32689,0
484,32691,32745,5
485,32750,32757,5
486,32778,32789,0
487,32793,32857,6
488,32870,32871,6
489,33087,33089,0
490,33098,33147,0
