,initial,final,next_label
384,43858,43865,3
385,43870,43877,3
386,44078,44082,3
387,44092,44107,0
388,44112,44117,0
389,44527,44529,3
390,44538,44588,0
391,44590,44597,0
392,44642,44642,4
393,44644,44649,4
394,44658,44659,0
395,44670,44677,4
396,45178,45187,3
397,45194,45197,3
398,45687,45687,4
399,45689,45689,4
400,45695,45695,0
401,45698,45709,4
402,45714,45714,4
403,45718,45723,0
404,45730,45749,0
405,45755,45777,4
406,45790,45791,4
407,45845,45849,4
408,45858,45897,4
409,45910,45914,4
410,46200,46209,3
411,46218,46317,0
412,46330,46330,0
413,46481,46489,3
414,46498,46544,0
415,46550,46557,0
416,46583,46586,4
417,46619,46629,4
418,46638,46642,4
419,46650,46657,4
420,47018,47029,3
421,47031,47066,0
422,47070,47077,0
423,48484,48484,0
424,48620,48625,0
425,49780,49789,2
426,49810,49817,0
427,50040,50049,3
428,50060,50100,0
429,50110,50117,0
430,50283,50286,3
431,50288,50289,2
432,50310,50310,3
433,50546,50549,2
434,50558,50622,0
435,50630,50637,0
436,50766,50769,3
437,50778,50789,3
438,50791,50862,0
439,50870,50877,0
440,51610,51612,0
